Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
164	Z1533545036	CC=1C=CC(C(=O)NC(C)CC2=NC(=NO2)C=3C=CC=CC3)=C(C)C1	-10.35	0.886407	7.733512
165	Z1798567797	CC=1C=C(O)C=CC1NC(=O)NC2=CC=C3OCC(=O)N(C)C3=C2	-10.34	0.978509	7.561759
166	Z1317910735	CC=1C=CC=C(C1)C2=NN=C(O2)C(C)N(C)CC3=CC=CC(O)=C3	-10.34	0.919898	7.609219
167	Z2964942511	CC(C)(C)OC(=O)N1CCN2N=C(C=C2C1)NC(=O)C=3C=CN=CC3F	-10.34	0.911656	7.712820
168	Z3991692440	O=C(NC=1C=C(F)C(=CC1F)OC(F)F)C=2C=CC=C(C2)NC3=CN=CC=N3	-10.34	0.986589	8.429295
169	Z2023323535	CC1CC(CCNC(=O)C(=O)NC=2C=CN(CCC=3C=CN=CC3)N2)CC(C)O1	-10.34	0.974596	7.979090
170	Z1895494984	CC(C)CN1N=CN=C1CS(=O)(=O)C2=NC(=NN2)C=3C=CC=4CCCC4C3	-10.33	0.929169	8.587660
171	Z1478843806	CC1=NN=C(C=2C=CC=C(C2)NC(=O)C=3C=C(Cl)C=CN3)N1C	-10.33	0.919734	7.909625
172	Z2965871390	CN(CC=1C=C(NN1)C=2C=CC=CC2)C(=O)C3CC43CCOCC4	-10.33	0.925445	7.764338
173	Z1512516317	COC=1C=CC=C2C=C(OC12)C(=O)NC=3C=CC(Cl)=CC3O	-10.33	0.889997	7.147779
174	Z2836703174	CC1CCC(CC1)NC(=O)CN2CCC(C2)C3=CC(=O)NC(=O)N3	-10.32	0.947123	7.920073
175	Z2494819704	CC=1C=CC(=CC1NC(=O)NCC2CCC3(CCCC3)O2)C=4C=CC=NC4	-10.32	0.968427	7.867616
176	Z4606339821	O=C(CC=1C=C(F)C=CC1Cl)NC=2C=CC(=NN2)C3=CC=CC=C3F	-10.32	0.828556	8.030073
177	Z3689326416	COC=1C=CC=C(C1)[C@@H]2C[C@H](C2)N(C)C(=O)C=3C=CC=4NN=C(C(=O)O)C4C3	-10.32	0.919071	7.998862
178	Z2998048164	C1=CN(N=C1C2=NOC(=N2)[C@@]34CNC[C@H]4CCOC3)C=5C=CC=CC5 |&1:10,14,r|	-10.32	0.586786	7.592675
179	Z448914932	CC(NC(=O)NC1C=2C=CC=CC2CC1O)C3=NC4=CC=CC=C4N3	-10.32	0.868742	7.620627
180	Z1441094844	CC=1C=CC(=CC1C2=NC=CO2)NC(=O)C3=CC=C4NN=NC4=C3	-10.31	0.984346	7.871259
