Rank	Ligand	SMILES	Binding_Affinity(kcal/mol)	CNN_affinity	CNN_score
150	Z3063134818	CCC(CC=1C=CC=CC1C)C(=O)N2CCN(C(C)=O)C3(CCOCC3)CC2	-11.05979	5.83354	0.41637
151	Z79380260	NS(=O)(=O)C=1C=CC(=CC1)NC(=O)C=2C=CC=3C(=O)OC(CC3C2)C=4C=CC=CC4	-11.05962	6.8382	0.63867
152	Z421522738	CC=1C=CC(=CC1NS(=O)(=O)C=2C=CC=CC2)NC(=O)C3=CC=C(F)C(F)=C3	-11.05479	6.58789	0.38245
153	Z27716948	O=C(C=1C=CC(=CC1)N2C(=O)C=3C=CC=CC3C2=O)N4CCC5=CC=CC=C5C4	-11.05386	7.11268	0.48537
154	Z1743056503	O=C1CCC2=CC(NCC3=NC(=NO3)C=4C=C(F)C(F)=C(F)C4)=C(F)C=C2N1	-11.05385	6.8887	0.67715
155	Z859549754	O=C(NC=1C=CC=2C(=O)NC(=O)C2C1)N3CCCC3C4=CC=CC5=CC=CC=C45	-11.05155	6.57077	0.44826
156	Z2291043933	O=C(NC=1C=CC(=CC1)N2C=CC=N2)N3C[C@@H]4C[C@H](C3)C5=CC=CC(=O)N5C4	-11.05117	6.75073	0.39718
157	Z1213673411	CC=1C=CC(C=2C=C(NN2)C(=O)NCC=3C=CC=4OCOC4C3)=C(O)C1C	-11.04878	6.70553	0.73696
158	Z1049157430	CC=1C=CC(F)=C(C1)C(=O)N2CCN(CC2)C(=O)C(C)(C)C=3C=CC=CC3	-11.04683	6.59133	0.4305
159	Z201394012	CC=1C=CC(=CC1C(=O)NC2=NC(=CS2)C3=CC=C4CCCC4=C3)S(N)(=O)=O	-11.04341	6.83456	0.52515
160	Z28930829	O=C(NC(C=1C=CC=CC1)C=2C=CC=CN2)C3CC(=O)N(C3)C4=CC=CC=C4Cl	-11.0422	7.53671	0.55164
161	Z1941741577	O=C(CNC(=O)C=1C=C(O)C=2C=CC=CC2C1)NC3=CC=CC4=CC=CN=C34	-11.04084	6.60996	0.61875
162	Z1092671878	COC1CCCN(C1)C(=O)C2CCCN2C(=O)C=3C=CC=4C=CC=CC4C3O	-11.03874	6.53625	0.40455
163	Z1369588247	CC=1C=CC=C(C1)CC2CN(C2)C(=O)NC=3C=CC=C(C3)NC(=O)C=4C=CC=CC4	-11.03119	6.56515	0.47013
164	Z1240234213	O=C(C=1C=C(C=CC1F)N2CCNC2=O)N3CCC4=CC=CC=C4CC3	-11.03103	6.71623	0.53178
165	Z2114208491	O=C(NC=1C=CC=C2C(=O)NCC12)N3CCCC4(CCCCC4)CC3	-11.02718	6.46108	0.41187
166	Z1206364673	CN(C(=O)NC=1C=CC2=C(C1)OC(=O)N2C)C3CCC=4C=CC=CC4C3	-11.02091	6.55239	0.65643
167	Z1421514348	CC=1C=C(C)N(N1)C=2C=CC(=CN2)C(=O)NC=3C=CC=4CCN(C)C(=O)C4C3	-11.02084	6.91735	0.55055
168	Z1570548681	CC1(CNC(=O)CN2C(=O)NC(C)(C2=O)C=3C=CC=CC3)CC4=CC=CC=C4C1	-11.02015	6.88532	0.51694
169	Z1612412112	CC=1C=CC(=CC1NC2CCC3(CC2)C(=O)NC=4C=CC=CC43)C(=O)N(C)C	-11.01911	6.62292	0.52116
170	Z89383347	CN1C=C(C(=O)N2CCN(CC2)S(=O)(=O)C=3C=C(Cl)C=CC3Cl)C=4C=CC=CC41	-11.01556	6.60545	0.30027
