Rank	Ligand	SMILES	gnina_affinity_min	CNNpose_score_max	CNNaffinity_min
15668	Z90885155	CC=1N=C(SC1C(=O)NCC(=O)NC=2C=CC=C(C)C2C)C=3C=CC=CC3	-8.272150	0.151600	6.338890
15669	Z809242558	O=C(NC1CCCCC1)NC2CCN(CC2)C(=O)C3=CC=CN3	-4.961810	0.151590	4.913460
15670	Z2992108513	CC1=NOC(C)=C1NS(=O)(=O)C=2C=NN3CC(C)(C)COC23	-6.622900	0.151590	5.786430
15671	Z1897811497	CC(C)C1CCC2=CC=CC=C2N1S(=O)(=O)C3=CN4CCCCC4=N3	-7.645520	0.151570	5.756960
15672	Z24931576	CCNC(=O)NC(=O)COC(=O)C=1C=C(N=C2C=CC(C)=CC12)C=3C=CC=CC3	-5.543930	0.151540	5.555430
15673	Z1442092771	CN1C=CC(=C1)CNC2CCN(CC2)C(=O)C=3C=COC3	-6.239430	0.151530	4.858020
15674	Z105421250	CCOC=1C=CC(=CC1NCC(=O)NC(C)(C)C)S(=O)(=O)N2CCCCC2	-3.357940	0.151520	5.381230
15675	Z1991858385	CC1=CC=C(CC(=O)NC=2C=NN(C2)C(C)(C)C(=O)O)S1	-4.530660	0.151510	4.056050
15676	Z2371168682	CNC(=O)C1CCN(CC=2C=CC(=CC2)OCC=3C=CN=CC3)C1	-5.692540	0.151490	5.306430
15677	Z827225248	COC=1C=CC=2C=C(NC2C1)C(=O)NCC=3C=CC=CC3N4CCOCC4	-6.413850	0.151460	5.638620
15678	Z507529988	O=C(NC1=CC(=CNC1=O)C(F)(F)F)C2CC2C3=CC=CC=C3F	-7.473830	0.151460	5.677000
15679	Z236613192	COC=1C=CC=C(C1)NC(=O)N2CCCN(CC2)S(=O)(=O)C=3C(C)=NOC3C	-4.370860	0.151420	5.085960
15680	Z3305298231	CNC(=O)C=1C=CC(=CN1)C(=O)N[C@H]2C[C@H](CN3C=CC=N3)C2	-5.856450	0.151400	5.381230
15681	Z2907636732	C[C@@H](NC(=O)C1=CN=C(NC2CC2)S1)C=3N=CC=CC3F	-3.636640	0.151360	4.536780
15682	Z19358214	CC1CC=2C=CC=CC2N1C(=O)CN3C=NC4=C3C(=O)N(C)C(=O)N4C	-6.416170	0.151340	5.715440
15683	Z407373820	CC(=O)NC=1C=CC=C(C1)CNC(=O)C=2C=C(Cl)C=CN2	-5.504000	0.151330	4.837480
15684	Z1751038086	CS(=O)C=1C=CC(=CC1)NC(=O)N2CCC(CN3C=NC=N3)CC2	-4.445710	0.151330	5.701190
15685	Z1650860331	Cl.[O-][N+](=O)C=1C=CC=CC1N2CCN(CCCC(=O)O)CC2	-5.240350	0.151320	4.717380
15686	Z2959046038	COC1=CC(=O)NC=C1C(=O)N(C)CC=2C=C(C)C=C(C)C2	-7.130560	0.151310	4.611090
15687	Z243214898	O=C(C=1N=C(N=CC1Cl)N2CCOCC2)N3CCC4=CC=CC=C43	-5.160370	0.151310	5.264640
15688	Z1526415595	CCN(CCCO)C1CCN(C1=O)C=2C=CN(C)N2	-5.181980	0.151250	4.760430
