Rank	Ligand	SMILES	VinaAffinity	CNNscore	CNNaffinity
125	Z237722000	O=C(NC(C=1C=CC=CC1)C=2C=CC=3NC=NC3C2)C4=CC=CN=C4O	-10.72111	0.6678	7.16325
126	Z432211934	O=C(NC=1C=CC=C(C1)N2C=CN=C2)C3CC=4C=CC=CC4C(=O)O3	-10.71726	0.68034	6.60351
127	Z1355709696	CC(=O)N1CC=2C=CC(=CC2C1)NC(=O)NCC3CCN(C3)C=4C=CC(F)=CC4	-10.71201	0.49335	6.4143
128	Z103724162	O=C(CN1CCC(CC=2C=CC=CC2)CC1)N(C3CCCC3)C4CCS(=O)(=O)C4	-10.70962	0.46145	7.18208
129	Z2104022198	O=C(N[C@H]1CCC[C@H]1OC=2C=C(F)C=C(F)C2)N3CCOC4(CCOCC4)C3	-10.70934	0.60433	6.76176
130	Z1002954420	CC=1C=CC(=CC1F)C2=NOC(=N2)C(C)N3CCN(CC3)C=4C=CC=NN4	-10.70885	0.54766	6.7431
131	Z73837661	CC(=O)N1CCC=2C=C(C=CC21)NC(=O)CSC3=NN=NN3C=4C=CC(Cl)=CC4	-10.69839	0.66655	6.91475
132	Z1462901394	CC1=CC(=CC(F)=C1)NC(=O)N2CCCC2C=3C=CC=4OCOC4C3	-10.69795	0.68112	7.01324
133	Z98669507	O=C(NC=1C=CC=2OCOC2C1)C3=CC(=C(S3)N4CCOCC4)C=5C=CC=CC5	-10.69732	0.52719	6.87766
134	Z1739809527	CC=1C=C(C)C=2CCN(CC2C1)C(=O)NC=3C=CC(=CC3)N4CCOC4=O	-10.69444	0.48139	6.58897
135	Z27407089	CC1=CC(C)=CC(=C1)N(C(=O)C2CCC2)C3=NC=4C=CC=CC4S3	-10.68979	0.75439	7.31187
136	Z118589012	CC=1C=CC(NC(=O)CC2=NC(=CS2)C=3C=CC=C(C3)N4CCCC4=O)=C(C)C1	-10.68607	0.58378	7.00769
137	Z169789292	O=C(NC1CCC=2C=CC=CC21)C3CC(=O)N(C3)C=4C=CC=5OCCOC5C4	-10.68379	0.6094	6.92841
138	Z1213675203	CC=1C=C(C)C=2OC(=CC(=O)C2C1)C(=O)N3CCN(CC3)C=4C=CC=C(Cl)C4	-10.68346	0.42939	6.79597
139	Z2718491659	CC1=C(C=NN1C=2C=CC=C(C)C2)C(=O)NC3(CO)COC=4C=CC=CC4C3	-10.68216	0.44934	6.56047
140	Z1444338622	CN1N=NC=2C=C(C=CC21)C(=O)N3CC=4C=CC=CC4CC3C(=O)O	-10.68065	0.48645	6.4016
141	Z30084893	CN(CC1=NC=2C=CC=CC2C(=O)N1)C(=O)C=3C=CC=C(C3)S(=O)(=O)N4CCCC4	-10.6773	0.54842	7.27106
142	Z235353849	CC=1C=CC(=CC1)N2C(=O)C3N=NN(CC(=O)NC=4C=CC(Br)=CC4)C3C2=O	-10.67057	0.47598	6.87171
143	Z87643613	CC(=O)N1CCC=2C=C(C=CC21)NC(=O)C=3C=CC(=CC3)CN4CCCC4=O	-10.66911	0.64834	6.93771
144	Z16422847	O=C(CN1N=NC(=N1)C=2C=CC=CC2)NC=3C=CC=C(C3)S(=O)(=O)N4CCCC4	-10.66741	0.73527	7.19422
145	Z908257948	O=C(NCC1CCN(C1)C=2C=CC(F)=CC2)C3CCCN(CC4=CC=CC(F)=C4)C3	-10.66312	0.31987	6.5974
146	Z1455319377	CC1(NC(=O)N(CC(=O)N[C@@H](C(=O)O)C=2C=CC=CC2)C1=O)C=3C=CC(F)=CC3	-10.65757	0.42557	6.70372
