Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
9345	Z1431753839	[O-][N+](=O)C1=CN(C=C(Br)C1=O)CC(=O)N2CCCC3CCCCC32	-3.55	0.416287	7.147458
9346	Z1815181636	CC1=CN(N=C1C(=O)NC=2C=CC=CC2N3CCOCC3)C=4C(F)=CC=CC4F	-3.54	0.389616	7.748790
9347	Z2052584680	CO[C@H]1C[C@@H](C(N)=O)N(C1)C2=CC(C)=NC=3C(F)=CC=CC23	-3.53	0.791774	7.188908
9348	Z2052490430	CO[C@H]1C[C@@H](C(=O)N2CCC(CC2)C3=CNC=4C=CC=CC34)N(C)C1	-3.53	0.567891	7.227671
9349	Z1728947407	COC=1N=CC=CC1C(=O)N2CCN(C=3C(C)=CC=CC32)C4CC4	-3.53	0.562025	7.078613
9350	Z239608316	Cl.CC1=CC(C2=CSC(CC=3C=CC=CC3)=N2)=C(C)N1C4CCS(=O)(=O)C4	-3.53	0.205209	7.372025
9351	Z3201192615	CCCN(C(=O)N[C@@H]1CCCC[C@H]1S(C)(=O)=O)C2CCN(C)C2 |&1:7,12,r|	-3.52	0.482250	6.349701
9352	Z2060782343	CC1=NOC(=N1)C2CCN(C2)C(=O)C=3C=CC=CC3N4CCCCC4	-3.52	0.671888	7.025414
9353	Z2179814578	CC1(C)NC(=O)N(C1=O)C2CCC(=O)NC2C3CCCO3	-3.52	0.760088	6.820185
9354	Z1851357305	CC(C)N1N=CC(C(=O)NC=2C=CN=CC2)=C1C=3C=CC=CC3	-3.51	0.847203	6.915876
9355	Z1554272961	O=C(NC=1C=C(Cl)C=CC1N2CCCCC2)N3CCN4C(=O)CCC4C3	-3.51	0.769636	6.909520
9356	Z3062041696	CCN1CC2(CCN(CC2)C(=O)C=3C=CC=C4OC(F)(F)OC34)[C@H]5COC[C@H]51	-3.50	0.596724	7.009264
9357	Z1212314542	CC(C)NC(=O)NC=1C=CC=CC1C(=O)N2CCN(CC2)C3CCCN(C)C3	-3.49	0.443637	7.170650
9358	Z1815397600	CC=1C=C(N(C)N1)N2CCC(C2=O)S(=O)(=O)C=3C=CC=CC3	-3.49	0.516266	6.117106
9359	Z1527203536	NC(=O)C=1C=C(C=CC1F)NC(=O)C2=C(SC=3CCCC23)N4C=CC=C4	-3.48	0.894444	7.951262
9360	Z1421502603	CN1C=C(C=N1)N2CCN(CC2)C(=O)NC3CC(C)(C)OC4=CC=CC=C43	-3.48	0.135827	6.868754
9361	Z192697860	CCN(CC)C(=O)C(NC(=O)C=1C=CC=CC1)C=2C=CC=CC2	-3.47	0.633613	6.258403
9362	Z1260370907	CCOC1CC(NC(=O)C=2C=CC=NC2N3C=CC=N3)C41CCC4	-3.47	0.415136	6.805879
9363	Z1891845239	CN1C(=O)N(C(=O)C1C=2C=CC=CC2)C=3C=CC=C(C3)C4=CC=CS4	-3.47	0.493263	7.066515
9364	Z2242927906	O=C(CC1=CC=CS1)N(CC2=NC=CS2)C3CC43CCNCC4	-3.47	0.787192	7.001114
9365	Z3062860295	CCN1C=NC2=C1CCN(CC3=NN=C(O3)C=4C=C(C)OC4C)C52CCOCC5	-3.47	0.401425	7.701504
9366	Z1791110557	COC=1C=C(C=CC1S(=O)(=O)N(CC2CCOC2)C3CC3)C(=O)O	-3.45	0.648377	6.389599
9367	Z227070724	CC=1C=C(C(=O)N2CCC=3SC=CC3C2)C=4C=NN(C4N1)C(C)C	-3.45	0.661652	7.336302
9368	Z2234060951	CCC(C)NC(=O)C1CSCN1S(=O)(=O)C2(C)CC2	-3.45	0.739683	6.849845
9369	Z2000846306	CCOC=1C=CC=C(C1)S(=O)(=O)N2CC(=O)N(C(C)C)C(C)(C)C2	-3.45	0.649735	6.866885
9370	Z2186075287	CC1(C)CN(CCO1)S(=O)(=O)N(CC2=CC=CO2)CC=3C=CC=CC3	-3.44	0.536162	6.675735
9371	Z2052754489	CCN1C(=O)NN=C1[C@@H]2C[C@@H](CN2C=3C=CN=C(C#N)C3)OC	-3.43	0.444326	7.563485
9372	Z103728788	O=C(C1=CC=CO1)N2CCN(CC3=C(N=C4C=CC=CN34)C=5C=CC=CC5)CC2	-3.42	0.440317	7.388129
9373	Z2043614525	C[C@H]1CC[C@@H](C(=O)O)N1S(=O)(=O)C=2C=CC=3OCOC3C2	-3.42	0.594307	6.051448
9374	Z2166499391	CC=1ON=C(N)C1S(=O)(=O)N2CC(C)OC=3C=CC(C)=CC32	-3.42	0.495204	7.204647
9375	Z1454040389	O=C(NC1CCOC2(CCCCC2)C1)C=3C=CC=NC3N4C=CC=N4	-3.42	0.704303	6.738057
9376	Z1393910786	CC=1C=CC(NC(=O)N2CCCC2C3=NC=4C=CC=CC4S3)=C(C)N1	-3.41	0.548314	7.284863
9377	Z8756211874	O=C(O)C(F)(F)F.CC(=O)NC1(CCN(CC2(O)CCC(C)CC2)C1)C3=NC(C)=CS3	-3.41	0.336075	7.292828
9378	Z3290647650	CC1(CC(=O)N(C[C@]23C[C@H]2COC43CCC4)C1=O)C=5C=CC=CC5 |&1:7,9,r|	-3.39	0.653127	6.962008
9379	Z115686764	Cl.O=S(=O)(NC(CN1CCOCC1)C=2C=CC=CC2)C=3C=CC=CC3Cl	-3.34	0.542199	7.089380
9380	Z1357116055	CC1CCC=2C(F)=CC=CC2C1NC(=O)N[C@H]3C=4C=CC=CC4C[C@H]3O	-3.34	0.689052	7.270554
9381	Z212226378	CN1C(=O)C=C(CN(CC2=CC=CO2)CC=3C=CC=CC3)N(C)C1=O	-3.34	0.502592	6.911381
