Rank	LigandID	SMILES	AutoDockAffinity(kcal/mol)	GNINAaffinity(kcal/mol)	CNNscore
143	Z2931993046	CN1N=CC(Br)=C1C(=O)N[C@@H]2CC=3C=CC=CC3[C@H]2N	-5.260000	6.398440	0.871350
144	Z56759494	CC1=CC(=O)OC2=CC(=CC=C12)OC(C)C(=O)O	-4.520000	4.787740	0.870920
145	Z71579897	CC=1C=CC(=NC1)NC(=O)C(C)OC=2C=CC=CC2	-5.220000	5.891970	0.870480
146	Z995904592	CC=1C=C(C=CC1C(=O)NC2=NN=C(S2)C(F)(F)F)[N+]([O-])=O	-4.920000	6.177990	0.869840
147	Z1444672147	O=C(O)CN(C(=O)CCN1C=CC=2C=CC=CC21)C3CCOCC3	-5.190000	6.288890	0.869660
148	Z220413728	CN1N=NN=C1C=2C=CC=C(C2)NC(=O)C=3C=CC=CC3	-6.050000	5.627070	0.869040
149	Z395891364	CC(C)(C(=O)NC=1C=CC=C(C1)C2=CC=NN2)C=3C=CC=CC3	-6.180000	5.867720	0.868300
150	Z133734308	CC1(NC(=O)N(CC2=COC(=N2)C=3C=CC=CC3)C1=O)C4=CC=C(Cl)C(Cl)=C4	-6.690000	7.148220	0.868230
151	Z1364138040	CC(NC(=O)N1CCSC(C)(C)C1)C2=NC(=NO2)C(C)(C)C	-6.680000	6.582230	0.868020
152	Z1222642126	CC(C)C1CCCCN1C(=O)CCC=2C=CC=CN2	-4.950000	6.222820	0.867890
153	Z134713528	COC=1C=CC=C(C1)CN2C(=O)NC(C)(C2=O)C=3C=CC(F)=C(F)C3	-5.450000	6.695990	0.867670
154	Z1315476953	COCC1CN(CCO1)C(=O)CN2C(=O)NC(=O)C2(C)C	-5.860000	6.206680	0.867540
155	Z295565930	O=C(C=1C=C(Br)C=CC1F)N2CCN(CC3=CC(=O)N4C=CC=CC4=N3)CC2	-6.060000	7.340990	0.867500
156	Z1990127971	CC(C)OC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC(=CN2)C=3C=NC=NC3	-5.520000	7.030870	0.867260
157	Z16225712	CC(SC1=NN=C2NC=3C=CC=CC3N12)C(=O)N4CCC5=CC=CC=C54	-6.900000	6.385090	0.867070
158	Z218840066	CC=1C=CC=C(C1)C(=O)NC=2C=CC(=CC2)N3CCNC3=O	-6.550000	6.405630	0.867000
159	Z2826163220	CC1(C)CN(CCC1C(F)(F)F)C(=O)C=2C=CC(N)=NC2	-4.600000	6.589810	0.866710
160	Z2752852786	CC(=O)NC=1C=C(C=CC1C)NC(=O)NCC#CCN(C)C	-4.810000	5.720400	0.866540
161	Z1417678286	CN1C=C(C=N1)C2CCN(C2)C(=O)NC=3C=CC=C(C3)OCCF	-4.620000	6.043070	0.866200
162	Z2379556119	COC=1C=CC=2CCC3(NC(=O)N(CC=4C=CC=C(F)N4)C3=O)C2C1	-5.680000	6.715210	0.865910
163	Z2837128897	CC(=O)N(C1=NC(=CS1)CN2CCCC2C=3C=NNC3)C4=CC=CC=C4F	-5.730000	7.373870	0.865720
164	Z2755771353	O=C1NC2(CC(O)C2)C(=O)N1CCOC=3C=CC=C(Cl)C3	-5.290000	5.597350	0.865560
165	Z1787520020	CN1N=CC=2C(N)=NC(=NC21)N3CCC(CC3)C4=NN=C5C=CC=CN45	-5.800000	6.969340	0.865460
166	Z2644758741	CN1CCC=2C=C(C=CC2C1=O)NC(=O)CC=3C=CC=4CC(=O)NC4C3	-7.170000	6.611980	0.865210
167	Z666224728	CC=1C=C(NC(=O)CC2=CC=C(Cl)C(Cl)=C2)NN1	-5.800000	5.665730	0.865070
168	Z1892005761	CN(C)C(=O)C=1C=C(C=CC1F)N2C(=O)NC3(CCCC3)C2=O	-5.040000	6.579660	0.865030
169	Z240368846	O=C(CC=1C=NN(C1)C=2C=CC=CC2)NC=3C=C(Cl)C=CC3F	-6.240000	6.007600	0.864570
170	Z1278376256	COC1=CC=2CCN(CC2C=C1OC)C(=O)NC=3C=C(ON3)C(C)C	-5.480000	6.650570	0.864440
171	Z606149730	CN(CC1=CN(N=C1C=2C=CC=CC2)C=3C=CC=CC3)S(=O)(=O)C=4C=NNC4	-6.770000	6.579050	0.864380
172	Z1989798506	CN(C)C1=NOC(CN2CCCC(C2)C3=NC=C(N3)C(F)(F)F)=N1	-4.660000	6.729880	0.864190
173	Z1667881603	CCC1=NC(=CS1)C(C)NCC2=NN=C3N(C)C(=O)C4=CC(C)=CC=C4N23	-6.610000	7.478490	0.863760
174	Z2091380052	COC=1C=CC(OC)=C(C1)CN(CCO)C=2N=C(C)C=C(C#N)N2	-3.900000	6.040220	0.863700
175	Z228791596	CC=1C=CC(=CC1S(=O)(=O)N(C)C)NC=2N=CN=C3C2C=NN3C	-5.690000	6.797710	0.863260
