SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CCN(CC)S(=O)(=O)C=1C=CC(=CC1)CNC(=O)CCC2CCCCN2C,Z1873142199,395.561,395.561,2.932,-2.118,1,4,69.72,8,https://real.enamine.net/public-enum-files/Z1873142199
CC=1C=CC(F)=C(C1)CNC=2C=CC=C(N2)C(=O)N3CCCC3CO,Z1828141667,343.396,343.396,2.344,-4.235,2,4,65.46,6,https://real.enamine.net/public-enum-files/Z1828141667
CC1=CC(CC(C)NC(=O)NC=2C=CN=C(C)C2)=NN1,Z1732002028,273.334,273.334,1.619,-1.647,3,3,82.7,6,https://real.enamine.net/public-enum-files/Z1732002028
CC#CCNC(=O)NC1=CC=C2C=CN(CC(=O)NC)C2=C1,Z1798556066,298.34,298.34,1.844,-3.071,3,2,75.16,7,https://real.enamine.net/public-enum-files/Z1798556066
CC1=CC(=NO1)NC(=O)CN2C=NC(C)=C(C)C2=O,Z1838428548,262.265,262.265,0.24,-1.654,1,4,87.8,4,https://real.enamine.net/public-enum-files/Z1838428548
CN(CC1=NC=CS1)C2CC32CCN(CC3)C(=O)CC4CCCCO4,Z1761491729,363.519,363.519,1.004,-1.504,0,4,45.67,6,https://real.enamine.net/public-enum-files/Z1761491729
O=C(CN1CCN(CC1)C(=O)C2CCCO2)N3CCC4=CC=CC=C43,Z54510467,343.421,343.421,2.248,-2.65,0,4,53.09,3,https://real.enamine.net/public-enum-files/Z54510467
CN(C)S(=O)(=O)C=1C=CC2=C(C1)CCCN2C(=O)CSC=3N=CC=CN3,Z165344686,392.499,392.499,1.366,-4.117,0,5,83.47,4,https://real.enamine.net/public-enum-files/Z165344686
CN(CCC=1C=CC=CN1)C(=O)C2=NNC=3CCCCCC23,Z1827916655,298.384,298.384,1.615,-3.473,1,3,61.88,5,https://real.enamine.net/public-enum-files/Z1827916655
CC(C)CC1C(=O)NCCN1C(=O)NC=2C=C(F)C(F)=CC2F,Z1780410674,329.318,329.318,2.917,-4.462,2,2,61.44,5,https://real.enamine.net/public-enum-files/Z1780410674
CC=1C(C)=C(C)C(CNC(=O)CN2C(=O)NC(C)(C2=O)C3CC3)=C(C)C1C,Z1471565995,371.474,371.474,3.89,-5.514,2,3,78.51,5,https://real.enamine.net/public-enum-files/Z1471565995
CN(CCC(=O)N1CCC=2C=CC=CC2C1)CC3CCOCC3,Z1770292524,316.439,316.439,1.768,-2.572,0,3,32.78,6,https://real.enamine.net/public-enum-files/Z1770292524
CCS(=O)(=O)C=1C=CC(=CC1)N(C)CC2=NC=CS2,Z1801621653,296.411,296.411,1.734,-2.419,0,4,50.27,5,https://real.enamine.net/public-enum-files/Z1801621653
CCN1C=C(C=N1)[C@@H]2NC(=O)CC[C@H]2NCC3=CC=C(C#N)S3,Z1757912435,329.422,329.422,0.129,-1.969,2,4,82.74,5,https://real.enamine.net/public-enum-files/Z1757912435
CC1=NOC(=N1)[C@@H]2CC[C@H](CNS(=O)(=O)C=3C=NN(C3)C(C)C)O2,Z1754476347,355.414,355.414,0.273,-0.666,1,6,112.14,6,https://real.enamine.net/public-enum-files/Z1754476347
